Nr;Timestamp;Zeit;T-Nr1;Temp1;T-Nr2;Temp2
1;1701558027;03.12.2023 00:00:27;97;28,1;132;26,2
2;1701558063;03.12.2023 00:01:03;97;27,8;132;26,2
3;1701558099;03.12.2023 00:01:39;97;27,4;132;26,2
4;1701558135;03.12.2023 00:02:15;97;27,1;132;26,1
5;1701558171;03.12.2023 00:02:51;97;26,9;132;26,1
6;1701558207;03.12.2023 00:03:27;97;26,6;132;26,1
7;1701558243;03.12.2023 00:04:03;97;26,4;132;26,0
8;1701558279;03.12.2023 00:04:39;97;26,2;132;26,0
9;1701558315;03.12.2023 00:05:15;97;26,0;132;25,9
10;1701558350;03.12.2023 00:05:50;97;25,8;132;25,9
11;1701558386;03.12.2023 00:06:26;97;25,6;132;25,9
12;1701558422;03.12.2023 00:07:02;97;25,4;132;25,9
13;1701558458;03.12.2023 00:07:38;97;25,1;132;25,9
14;1701558494;03.12.2023 00:08:14;97;25,0;132;25,9
15;1701558530;03.12.2023 00:08:50;97;24,9;132;25,9
16;1701558566;03.12.2023 00:09:26;97;24,8;132;25,8
17;1701558602;03.12.2023 00:10:02;97;24,7;132;25,8
18;1701558638;03.12.2023 00:10:38;97;24,6;132;25,8
19;1701558674;03.12.2023 00:11:14;97;24,5;132;25,8
20;1701558710;03.12.2023 00:11:50;97;24,4;132;25,8
21;1701558746;03.12.2023 00:12:26;97;24,3;132;25,7
22;1701558782;03.12.2023 00:13:02;97;24,2;132;25,7
23;1701558818;03.12.2023 00:13:38;97;24,1;132;25,7
24;1701558854;03.12.2023 00:14:14;97;24,1;132;25,7
25;1701558889;03.12.2023 00:14:49;97;23,9;132;25,6
26;1701558925;03.12.2023 00:15:25;97;23,9;132;25,6
27;1701558961;03.12.2023 00:16:01;97;23,8;132;25,6
28;1701558997;03.12.2023 00:16:37;97;23,7;132;25,6
29;1701559033;03.12.2023 00:17:13;97;23,7;132;25,6
30;1701559069;03.12.2023 00:17:49;97;23,6;132;25,6
31;1701559105;03.12.2023 00:18:25;97;23,6;132;25,6
32;1701559141;03.12.2023 00:19:01;97;23,5;132;25,6
33;1701559177;03.12.2023 00:19:37;97;23,5;132;25,6
34;1701559213;03.12.2023 00:20:13;97;23,4;132;25,6
35;1701559249;03.12.2023 00:20:49;97;23,4;132;25,6
36;1701559285;03.12.2023 00:21:25;97;23,3;132;25,5
37;1701559320;03.12.2023 00:22:00;97;23,3;132;25,6
38;1701559356;03.12.2023 00:22:36;97;23,1;132;25,5
39;1701559392;03.12.2023 00:23:12;97;23,1;132;25,5
40;1701559428;03.12.2023 00:23:48;97;23,1;132;25,5
41;1701559464;03.12.2023 00:24:24;97;23,0;132;25,4
42;1701559500;03.12.2023 00:25:00;97;23,0;132;25,4
43;1701559536;03.12.2023 00:25:36;97;22,9;132;25,4
44;1701559572;03.12.2023 00:26:12;97;22,8;132;25,4
45;1701559608;03.12.2023 00:26:48;97;22,8;132;25,4
46;1701559643;03.12.2023 00:27:23;97;22,8;132;25,4
47;1701559679;03.12.2023 00:27:59;97;22,8;132;25,4
48;1701559715;03.12.2023 00:28:35;97;22,7;132;25,4
49;1701559751;03.12.2023 00:29:11;97;22,7;132;25,4
50;1701559787;03.12.2023 00:29:47;97;22,6;132;25,4
51;1701559823;03.12.2023 00:30:23;97;22,6;132;25,4
52;1701559859;03.12.2023 00:30:59;97;22,6;132;25,4
53;1701559895;03.12.2023 00:31:35;97;22,6;132;25,4
54;1701559930;03.12.2023 00:32:10;97;22,6;132;25,4
55;1701559966;03.12.2023 00:32:46;97;22,5;132;25,4
56;1701560002;03.12.2023 00:33:22;97;22,5;132;25,3
57;1701560038;03.12.2023 00:33:58;97;22,5;132;25,3
58;1701560074;03.12.2023 00:34:34;97;22,4;132;25,3
59;1701560110;03.12.2023 00:35:10;97;22,3;132;25,3
60;1701560146;03.12.2023 00:35:46;97;22,3;132;25,3
61;1701560182;03.12.2023 00:36:22;97;22,3;132;25,3
62;1701560218;03.12.2023 00:36:58;97;22,3;132;25,3
63;1701560253;03.12.2023 00:37:33;97;22,3;132;25,3
64;1701560289;03.12.2023 00:38:09;97;22,3;132;25,3
65;1701560325;03.12.2023 00:38:45;97;22,3;132;25,2
66;1701560361;03.12.2023 00:39:21;97;22,3;132;25,3
67;1701560397;03.12.2023 00:39:57;97;22,2;132;25,2
68;1701560433;03.12.2023 00:40:33;97;22,2;132;25,2
69;1701560469;03.12.2023 00:41:09;97;22,2;132;25,3
70;1701560505;03.12.2023 00:41:45;97;22,1;132;25,2
71;1701560541;03.12.2023 00:42:21;97;22,1;132;25,2
72;1701560577;03.12.2023 00:42:57;97;22,1;132;25,2
73;1701560613;03.12.2023 00:43:33;97;22,1;132;25,1
74;1701560649;03.12.2023 00:44:09;97;22,1;132;25,1
75;1701560685;03.12.2023 00:44:45;97;22,1;132;25,1
76;1701560720;03.12.2023 00:45:20;97;22,0;132;25,1
77;1701560756;03.12.2023 00:45:56;97;21,9;132;25,1
78;1701560792;03.12.2023 00:46:32;97;21,9;132;25,1
79;1701560828;03.12.2023 00:47:08;97;21,9;132;25,2
80;1701560864;03.12.2023 00:47:44;97;21,9;132;25,2
81;1701560900;03.12.2023 00:48:20;97;21,9;132;25,1
82;1701560936;03.12.2023 00:48:56;97;21,9;132;25,1
83;1701560972;03.12.2023 00:49:32;97;21,9;132;25,1
84;1701561008;03.12.2023 00:50:08;97;21,9;132;25,1
85;1701561044;03.12.2023 00:50:44;97;21,9;132;25,1
86;1701561079;03.12.2023 00:51:19;97;21,9;132;25,0
87;1701561115;03.12.2023 00:51:55;97;21,9;132;25,0
88;1701561151;03.12.2023 00:52:31;97;21,8;132;25,0
89;1701561187;03.12.2023 00:53:07;97;21,8;132;25,0
90;1701561223;03.12.2023 00:53:43;97;21,8;132;25,0
91;1701561259;03.12.2023 00:54:19;97;21,8;132;25,0
92;1701561295;03.12.2023 00:54:55;97;21,7;132;25,0
93;1701561331;03.12.2023 00:55:31;97;21,7;132;24,9
94;1701561367;03.12.2023 00:56:07;97;21,7;132;24,9
95;1701561403;03.12.2023 00:56:43;97;21,7;132;24,9
96;1701561439;03.12.2023 00:57:19;97;21,6;132;24,9
97;1701561474;03.12.2023 00:57:54;97;21,6;132;24,9
98;1701561510;03.12.2023 00:58:30;97;21,6;132;24,9
99;1701561546;03.12.2023 00:59:06;97;21,6;132;24,9
100;1701561582;03.12.2023 00:59:42;97;21,5;132;24,9
101;1701561618;03.12.2023 01:00:18;97;21,5;132;24,8
102;1701561654;03.12.2023 01:00:54;97;21,5;132;24,9
103;1701561690;03.12.2023 01:01:30;97;21,5;132;24,9
104;1701561726;03.12.2023 01:02:06;97;21,5;132;24,9
105;1701561762;03.12.2023 01:02:42;97;21,5;132;24,9
106;1701561798;03.12.2023 01:03:18;97;21,5;132;24,9
107;1701561834;03.12.2023 01:03:54;97;21,4;132;24,9
108;1701561870;03.12.2023 01:04:30;97;21,4;132;24,8
109;1701561905;03.12.2023 01:05:05;97;21,4;132;24,8
110;1701561941;03.12.2023 01:05:41;97;21,4;132;24,8
111;1701561977;03.12.2023 01:06:17;97;21,4;132;24,8
112;1701562013;03.12.2023 01:06:53;97;21,4;132;24,8
113;1701562049;03.12.2023 01:07:29;97;21,3;132;24,8
114;1701562085;03.12.2023 01:08:05;97;21,4;132;24,8
115;1701562121;03.12.2023 01:08:41;97;21,3;132;24,8
116;1701562157;03.12.2023 01:09:17;97;21,3;132;24,8
117;1701562193;03.12.2023 01:09:53;97;21,3;132;24,8
118;1701562229;03.12.2023 01:10:29;97;21,3;132;24,8
119;1701562265;03.12.2023 01:11:05;97;21,3;132;24,8
120;1701562301;03.12.2023 01:11:41;97;21,3;132;24,8
121;1701562337;03.12.2023 01:12:17;97;21,3;132;24,8
122;1701562373;03.12.2023 01:12:53;97;21,2;132;24,8
123;1701562408;03.12.2023 01:13:28;97;21,2;132;24,8
124;1701562444;03.12.2023 01:14:04;97;21,1;132;24,7
125;1701562480;03.12.2023 01:14:40;97;21,1;132;24,7
126;1701562516;03.12.2023 01:15:16;97;21,1;132;24,7
127;1701562552;03.12.2023 01:15:52;97;21,2;132;24,7
128;1701562588;03.12.2023 01:16:28;97;21,1;132;24,7
129;1701562624;03.12.2023 01:17:04;97;21,1;132;24,7
130;1701562660;03.12.2023 01:17:40;97;21,1;132;24,7
131;1701562696;03.12.2023 01:18:16;97;21,1;132;24,7
132;1701562732;03.12.2023 01:18:52;97;21,1;132;24,7
133;1701562768;03.12.2023 01:19:28;97;21,2;132;24,7
134;1701562804;03.12.2023 01:20:04;97;21,2;132;24,7
135;1701562840;03.12.2023 01:20:40;97;21,2;132;24,7
136;1701562876;03.12.2023 01:21:16;97;21,2;132;24,8
137;1701562911;03.12.2023 01:21:51;97;21,2;132;24,7
138;1701562947;03.12.2023 01:22:27;97;21,2;132;24,6
139;1701562983;03.12.2023 01:23:03;97;21,1;132;24,7
140;1701563019;03.12.2023 01:23:39;97;21,2;132;24,6
141;1701563055;03.12.2023 01:24:15;97;21,1;132;24,6
142;1701563091;03.12.2023 01:24:51;97;21,1;132;24,6
143;1701563127;03.12.2023 01:25:27;97;21,1;132;24,6
144;1701563163;03.12.2023 01:26:03;97;21,1;132;24,6
145;1701563199;03.12.2023 01:26:39;97;21,1;132;24,6
146;1701563235;03.12.2023 01:27:15;97;21,1;132;24,6
147;1701563271;03.12.2023 01:27:51;97;21,0;132;24,6
148;1701563307;03.12.2023 01:28:27;97;21,0;132;24,5
149;1701563343;03.12.2023 01:29:03;97;21,0;132;24,5
150;1701563379;03.12.2023 01:29:39;97;20,9;132;24,5
151;1701563415;03.12.2023 01:30:15;97;21,0;132;24,5
152;1701563450;03.12.2023 01:30:50;97;21,0;132;24,5
153;1701563486;03.12.2023 01:31:26;97;21,0;132;24,5
154;1701563522;03.12.2023 01:32:02;97;21,0;132;24,5
155;1701563558;03.12.2023 01:32:38;97;20,9;132;24,5
156;1701563594;03.12.2023 01:33:14;97;20,9;132;24,5
157;1701563630;03.12.2023 01:33:50;97;20,9;132;24,5
158;1701563666;03.12.2023 01:34:26;97;20,9;132;24,4
159;1701563702;03.12.2023 01:35:02;97;20,8;132;24,4
160;1701563738;03.12.2023 01:35:38;97;20,8;132;24,5
161;1701563774;03.12.2023 01:36:14;97;20,8;132;24,5
162;1701563809;03.12.2023 01:36:49;97;20,8;132;24,4
163;1701563845;03.12.2023 01:37:25;97;20,8;132;24,4
164;1701563881;03.12.2023 01:38:01;97;20,8;132;24,4
165;1701563917;03.12.2023 01:38:37;97;20,7;132;24,4
166;1701563953;03.12.2023 01:39:13;97;20,8;132;24,4
167;1701563989;03.12.2023 01:39:49;97;20,7;132;24,4
168;1701564025;03.12.2023 01:40:25;97;20,7;132;24,4
169;1701564061;03.12.2023 01:41:01;97;20,8;132;24,4
170;1701564097;03.12.2023 01:41:37;97;20,8;132;24,5
171;1701564133;03.12.2023 01:42:13;97;20,8;132;24,4
172;1701564169;03.12.2023 01:42:49;97;20,8;132;24,4
173;1701564204;03.12.2023 01:43:24;97;20,8;132;24,4
174;1701564240;03.12.2023 01:44:00;97;20,8;132;24,4
175;1701564276;03.12.2023 01:44:36;97;20,8;132;24,4
176;1701564312;03.12.2023 01:45:12;97;20,8;132;24,4
177;1701564348;03.12.2023 01:45:48;97;20,8;132;24,4
178;1701564384;03.12.2023 01:46:24;97;20,7;132;24,4
179;1701564420;03.12.2023 01:47:00;97;20,7;132;24,4
180;1701564456;03.12.2023 01:47:36;97;20,7;132;24,3
181;1701564492;03.12.2023 01:48:12;97;20,6;132;24,4
182;1701564528;03.12.2023 01:48:48;97;20,6;132;24,3
183;1701564564;03.12.2023 01:49:24;97;20,6;132;24,3
184;1701564600;03.12.2023 01:50:00;97;20,6;132;24,3
185;1701564636;03.12.2023 01:50:36;97;20,6;132;24,3
186;1701564671;03.12.2023 01:51:11;97;20,6;132;24,3
187;1701564707;03.12.2023 01:51:47;97;20,6;132;24,3
188;1701564743;03.12.2023 01:52:23;97;20,6;132;24,3
189;1701564779;03.12.2023 01:52:59;97;20,6;132;24,3
190;1701564815;03.12.2023 01:53:35;97;20,6;132;24,3
191;1701564851;03.12.2023 01:54:11;97;20,6;132;24,3
192;1701564887;03.12.2023 01:54:47;97;20,6;132;24,3
193;1701564923;03.12.2023 01:55:23;97;20,6;132;24,3
194;1701564959;03.12.2023 01:55:59;97;20,6;132;24,3
195;1701564995;03.12.2023 01:56:35;97;20,5;132;24,3
196;1701565031;03.12.2023 01:57:11;97;20,5;132;24,2
197;1701565067;03.12.2023 01:57:47;97;20,4;132;24,2
198;1701565102;03.12.2023 01:58:22;97;20,4;132;24,2
199;1701565138;03.12.2023 01:58:58;97;20,4;132;24,2
200;1701565174;03.12.2023 01:59:34;97;20,4;132;24,2
201;1701565210;03.12.2023 02:00:10;97;20,4;132;24,2
202;1701565246;03.12.2023 02:00:46;97;20,4;132;24,2
203;1701565282;03.12.2023 02:01:22;97;20,4;132;24,1
204;1701565318;03.12.2023 02:01:58;97;20,4;132;24,1
205;1701565354;03.12.2023 02:02:34;97;20,4;132;24,1
206;1701565390;03.12.2023 02:03:10;97;20,4;132;24,1
207;1701565426;03.12.2023 02:03:46;97;20,4;132;24,1
208;1701565462;03.12.2023 02:04:22;97;20,3;132;24,1
209;1701565498;03.12.2023 02:04:58;97;20,3;132;24,1
210;1701565534;03.12.2023 02:05:34;97;20,3;132;24,1
211;1701565570;03.12.2023 02:06:10;97;20,3;132;24,1
212;1701565605;03.12.2023 02:06:45;97;20,3;132;24,1
213;1701565641;03.12.2023 02:07:21;97;20,3;132;24,1
214;1701565677;03.12.2023 02:07:57;97;20,3;132;24,1
215;1701565713;03.12.2023 02:08:33;97;20,3;132;24,1
216;1701565749;03.12.2023 02:09:09;97;20,3;132;24,1
217;1701565785;03.12.2023 02:09:45;97;20,2;132;24,1
218;1701565821;03.12.2023 02:10:21;97;20,2;132;24,1
219;1701565857;03.12.2023 02:10:57;97;20,1;132;24,1
220;1701565893;03.12.2023 02:11:33;97;20,2;132;24,1
221;1701565929;03.12.2023 02:12:09;97;20,1;132;24,1
222;1701565965;03.12.2023 02:12:45;97;20,1;132;24,1
223;1701566001;03.12.2023 02:13:21;97;20,1;132;24,1
224;1701566036;03.12.2023 02:13:56;97;20,1;132;24,1
225;1701566072;03.12.2023 02:14:32;97;20,1;132;24,1
226;1701566108;03.12.2023 02:15:08;97;20,1;132;24,0
227;1701566144;03.12.2023 02:15:44;97;20,1;132;24,1
228;1701566180;03.12.2023 02:16:20;97;20,1;132;24,0
229;1701566216;03.12.2023 02:16:56;97;20,1;132;24,0
230;1701566252;03.12.2023 02:17:32;97;20,1;132;24,1
231;1701566288;03.12.2023 02:18:08;97;20,1;132;24,0
232;1701566324;03.12.2023 02:18:44;97;20,1;132;24,0
233;1701566360;03.12.2023 02:19:20;97;20,1;132;24,0
234;1701566396;03.12.2023 02:19:56;97;20,1;132;23,9
235;1701566431;03.12.2023 02:20:31;97;20,1;132;23,9
236;1701566467;03.12.2023 02:21:07;97;20,1;132;23,9
237;1701566503;03.12.2023 02:21:43;97;20,1;132;23,9
238;1701566539;03.12.2023 02:22:19;97;20,1;132;23,9
239;1701566575;03.12.2023 02:22:55;97;20,1;132;23,9
240;1701566611;03.12.2023 02:23:31;97;20,1;132;23,9
241;1701566647;03.12.2023 02:24:07;97;20,0;132;23,9
242;1701566683;03.12.2023 02:24:43;97;20,0;132;23,9
243;1701566719;03.12.2023 02:25:19;97;20,0;132;23,9
244;1701566755;03.12.2023 02:25:55;97;20,0;132;23,9
245;1701566791;03.12.2023 02:26:31;97;20,0;132;23,9
246;1701566827;03.12.2023 02:27:07;97;20,0;132;23,9
247;1701566863;03.12.2023 02:27:43;97;20,0;132;23,9
248;1701566899;03.12.2023 02:28:19;97;19,9;132;23,9
249;1701566934;03.12.2023 02:28:54;97;20,0;132;23,9
250;1701566970;03.12.2023 02:29:30;97;19,9;132;23,9
251;1701567006;03.12.2023 02:30:06;97;19,9;132;23,9
252;1701567042;03.12.2023 02:30:42;97;19,9;132;23,9
253;1701567078;03.12.2023 02:31:18;97;19,9;132;23,9
254;1701567114;03.12.2023 02:31:54;97;19,9;132;23,9
255;1701567150;03.12.2023 02:32:30;97;19,9;132;23,9
256;1701567186;03.12.2023 02:33:06;97;19,9;132;23,8
257;1701567222;03.12.2023 02:33:42;97;19,9;132;23,8
258;1701567258;03.12.2023 02:34:18;97;19,9;132;23,8
259;1701567294;03.12.2023 02:34:54;97;19,9;132;23,8
260;1701567330;03.12.2023 02:35:30;97;19,9;132;23,8
261;1701567366;03.12.2023 02:36:06;97;19,9;132;23,8
262;1701567402;03.12.2023 02:36:42;97;19,9;132;23,8
263;1701567438;03.12.2023 02:37:18;97;19,9;132;23,8
264;1701567474;03.12.2023 02:37:54;97;19,9;132;23,8
265;1701567510;03.12.2023 02:38:30;97;19,9;132;23,8
266;1701567545;03.12.2023 02:39:05;97;19,8;132;23,8
